id,chr1,chr2,start1,end1,start2,end2,pvalue,length,ks_median,ks_average,homo1,homo2,homo3,homo4,homo5,block1,block2,ks,tandem_ratio,density1,density2,class1,class2
1,1,2,102.0,108.0,1164.0,1178.0,0.0108,5,-1,-1,1.0,1.0,1.0,1.0,1.0,102_103_106_107_108,1164_1165_1168_1170_1178,_-1_-1_-1_-1_-1,0.0,0.7142857142857143,0.3333333333333333,0,0
2,1,2,70.0,153.0,1198.0,1119.0,0.108,16,-1,-1,0.9375,0.9375,0.9375,0.9375,0.9375,70_79_94_96_98_108_110_112_117_118_121_124_125_128_135_153,1198_1193_1186_1185_1183_1178_1155_1147_1145_1144_1141_1136_1132_1131_1128_1119,_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,0.0,0.19047619047619047,0.2,0,0
3,1,3,619.0,946.0,205.0,538.0,0.0434,96,-1,-1,0.8645833333333334,0.9166666666666666,0.9479166666666666,0.9791666666666666,0.9791666666666666,619_623_624_626_628_632_635_638_639_640_641_642_645_646_648_649_650_651_658_667_668_673_674_676_679_680_682_684_685_687_688_694_695_698_706_708_715_717_718_722_730_732_733_736_741_742_747_749_754_775_778_779_782_788_797_802_807_809_811_813_814_815_816_836_837_839_846_850_852_853_855_856_857_869_870_871_872_877_881_883_886_907_908_910_914_921_923_926_927_930_933_934_936_940_943_946,205_209_210_212_214_215_217_224_228_235_237_239_244_245_246_247_254_255_264_265_268_269_270_275_276_277_284_287_288_291_292_293_294_301_309_310_317_320_322_329_330_332_334_336_338_339_343_344_345_353_355_357_361_362_363_365_403_409_413_416_417_418_420_424_426_438_442_446_450_455_456_461_462_466_467_469_472_481_485_486_505_507_509_510_511_516_519_520_522_523_525_526_529_531_532_538,_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,0.011904761904761904,0.2926829268292683,0.2874251497005988,0,0
4,1,3,948.0,1024.0,888.0,966.0,0.0522,16,-1,-1,0.8125,0.8125,0.875,0.875,1.0,948_949_952_953_956_958_961_967_974_985_986_988_989_990_1019_1024,888_908_909_913_918_920_924_928_931_940_942_944_950_952_961_966,_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,0.0,0.2077922077922078,0.20253164556962025,0,0
5,1,3,552.0,575.0,1061.0,1101.0,0.0289,10,-1,-1,0.8,0.8,0.9,0.9,1.0,552_553_559_562_563_564_565_566_574_575,1061_1067_1076_1077_1078_1079_1083_1084_1099_1101,_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,0.03333333333333333,0.4166666666666667,0.24390243902439024,0,0
6,1,3,2.0,24.0,686.0,699.0,0.0038,8,-1,-1,1.0,1.0,1.0,1.0,1.0,2_5_6_16_17_20_21_24,686_688_689_691_692_696_697_699,_-1_-1_-1_-1_-1_-1_-1_-1,0.0,0.34782608695652173,0.5714285714285714,0,0
7,1,3,415.0,436.0,767.0,781.0,0.0224,7,-1,-1,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,1.0,415_416_421_423_426_435_436,767_768_769_770_773_778_781,_-1_-1_-1_-1_-1_-1_-1,0.0,0.3181818181818182,0.4666666666666667,0,0
8,1,3,1348.0,1362.0,36.0,45.0,0.0043,6,-1,-1,1.0,1.0,1.0,1.0,1.0,1348_1349_1354_1359_1360_1362,36_37_40_42_43_45,_-1_-1_-1_-1_-1_-1,0.0,0.4,0.6,0,0
9,1,3,1173.0,1183.0,125.0,131.0,0.0865,5,-1,-1,-0.4,-0.4,0.4,0.6,0.6,1173_1175_1176_1179_1183,125_127_128_130_131,_-1_-1_-1_-1_-1,0.7368421052631579,0.45454545454545453,0.7142857142857143,0,0
10,1,3,299.0,544.0,884.0,702.0,0.038,58,-1,-1,0.9655172413793104,0.9655172413793104,0.9827586206896551,1.0,1.0,299_303_304_306_308_312_316_319_322_327_331_334_336_337_338_339_340_341_344_351_355_356_359_363_365_369_376_380_388_389_392_395_398_404_405_410_411_426_429_449_450_461_462_464_481_483_484_486_493_504_506_508_519_521_528_529_530_544,884_879_877_876_874_872_869_867_866_858_854_850_848_845_844_840_835_834_833_826_824_823_813_809_806_805_802_801_799_798_797_796_795_789_788_786_785_773_772_757_754_747_746_745_735_734_733_729_721_717_715_714_711_710_707_706_704_702,_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,0.004449388209121246,0.23577235772357724,0.31693989071038253,0,0
